artist,year,song,album
"The Who",1969,"Pinball Wizard","The Who By Numbers"
"The Who",1978,"Who Are You?","The Who By Numbers"
"The Who",1970,"See Me, Feel Me","The Who By Numbers"
Kraftwerk,1975,Autobahn,Autobahn
"David Bowie",1983,"Let's Dance","Young Americans"
"David Bowie",1975,Fame,"Young Americans"
"David Bowie",1973,"Space Oddity","Young Americans"
"David Bowie",1980,"Ashes to Ashes","Young Americans"
"David Bowie",1983,"China Girl","Young Americans"
"David Bowie",1976,"Golden Years","Young Americans"
"David Bowie",1986,"Absolute Beginners","Young Americans"
"David Bowie",1982,"Cat People (Putting Out Fire)","Young Americans"
"David Bowie",1984,"Blue Jean","Young Americans"
"David Bowie",1983,"Modern Love","Young Americans"
"David Bowie",1973,Sorrow,"Young Americans"
"David Bowie",1977,Heroes,"Young Americans"
"David Bowie",1975,"Young Americans","Young Americans"
"David Bowie",1993,"Jump They Say","Young Americans"
"David Bowie",1974,"Rebel Rebel","Young Americans"
"David Bowie",1980,Fashion,"Young Americans"
"Willie Nelson",1982,"Always On My Mind","Red Headed Stranger"
"Roxy Music",1975,"Love is the Drug",Siren
"Roxy Music",1981,"Jealous Guy",Siren
"Neil Young",1972,"Heart of Gold","Tonight's the Night"
"Earth, Wind & Fire",1981,"Let's Groove",Gratitude
"Earth, Wind & Fire",1979,"Boogie Wonderland",Gratitude
"Earth, Wind & Fire",1979,September,Gratitude
"Earth, Wind & Fire",1975,"Shining Star",Gratitude
"Earth, Wind & Fire",1979,"After the Love Has Gone",Gratitude
"John Lennon",1971,Imagine,"Shaved Fish"
"John Lennon",1980,"(Just Like) Starting Over","Shaved Fish"
"John Lennon",1981,Woman,"Shaved Fish"
"John Lennon",1970,"Instant Karma","Shaved Fish"
"John Lennon",1969,"Give Peace a Chance","Shaved Fish"
"John Lennon",1972,"Happy Xmas (War is Over)","Shaved Fish"
"John Lennon",1971,"Power to the People","Shaved Fish"
"John Lennon",1974,"Whatever Gets You Thru the Night","Shaved Fish"
"John Lennon",1975,"Stand By Me","Shaved Fish"
"John Lennon",1984,"Nobody Told Me","Shaved Fish"
"John Lennon",1981,"Watching the Wheels","Shaved Fish"
"Ringo Starr",1973,Photograph,"Goodnight Vienna"
"Ringo Starr",1971,"It Don't Come Easy","Goodnight Vienna"
"Ringo Starr",1974,"You're Sixteen, You're Beautiful (And You're Mine)","Goodnight Vienna"
"Ringo Starr",1972,"Back Off Boogaloo","Goodnight Vienna"
"Ringo Starr",1975,"No No Song","Goodnight Vienna"
"Boney M",1978,"Rivers of Babylon","Take The Heat Off Me"
"Boney M",1977,"Ma Baker","Take The Heat Off Me"
"Boney M",1976,"Daddy Cool","Take The Heat Off Me"
"Boney M",1978,"Mary's Boy Child/Oh My Lord","Take The Heat Off Me"
"Boney M",1978,Rasputin,"Take The Heat Off Me"
"Boney M",1977,Sunny,"Take The Heat Off Me"
"Boney M",1977,Belfast,"Take The Heat Off Me"
"Boney M",1978,"Brown Girl in the Ring","Take The Heat Off Me"
"Boney M",1979,"Hooray Hooray It's a Holi-Holiday","Take The Heat Off Me"
"Boney M",1979,"El Lute","Take The Heat Off Me"
"Bob Marley",1975,"No Woman, No Cry","Rastaman Vibration"
"Bob Marley",1980,"Could You Be Loved","Rastaman Vibration"
"Donna Summer",1979,"Hot Stuff","Love To Love You Baby"
"Donna Summer",1977,"I Feel Love","Love To Love You Baby"
"Donna Summer",1976,"Love to Love You Baby","Love To Love You Baby"
"Donna Summer",1979,"Bad Girls","Love To Love You Baby"
"Donna Summer",1978,"MacArthur Park","Love To Love You Baby"
"Donna Summer",1978,"The Last Dance","Love To Love You Baby"
"Donna Summer",1983,"She Works Hard For the Money","Love To Love You Baby"
"Donna Summer",1980,"On The Radio","Love To Love You Baby"
"Donna Summer",1989,"This Time I Know It's For Real","Love To Love You Baby"
"Donna Summer",1982,"Love is in Control (Finger On the Trigger)","Love To Love You Baby"
"Donna Summer",1980,"The Wanderer","Love To Love You Baby"
Santana,2000,"Maria Maria",Amigos
Santana,1970,"Black Magic Woman",Amigos
Santana,1971,"Oye Como Va",Amigos
"Elton John",1997,"Candle in the Wind '97","Blue Moves"
"Elton John",1973,"Crocodile Rock","Blue Moves"
"Elton John",1997,"Something About the Way You look Tonight","Blue Moves"
"Elton John",1973,"Goodbye Yellow Brick Road","Blue Moves"
"Elton John",1994,"Can You Feel the Love Tonight","Blue Moves"
"Elton John",1985,Nikita,"Blue Moves"
"Elton John",1975,"Philadelphia Freedom","Blue Moves"
"Elton John",1973,Daniel,"Blue Moves"
"Elton John",1971,"Your Song","Blue Moves"
"Elton John",1974,"Bennie & the Jets","Blue Moves"
"Elton John",1992,"The One","Blue Moves"
"Elton John",1972,"Rocket Man","Blue Moves"
"Elton John",1995,Believe,"Blue Moves"
"Elton John",1980,"Little Jeannie","Blue Moves"
"Elton John",1990,Sacrifice,"Blue Moves"
"Elton John",1975,"Island Girl","Blue Moves"
"Elton John",1974,"Lucy in the Sky With Diamonds","Blue Moves"
"Elton John",1974,"Don't Let the Sun Go Down On Me","Blue Moves"
"Elton John",1988,"I Don't Wanna Go On With You Like That","Blue Moves"
"Elton John",1983,"I'm Still Standing","Blue Moves"
"Elton John",1994,"Circle of Life","Blue Moves"
"Elton John",1975,"Someone Saved My Life Tonight","Blue Moves"
"Elton John",1990,"You Gotta Love Someone","Blue Moves"
"Elton John",1983,"I Guess That's Why They Call it the Blues","Blue Moves"
"Elton John",1974,"The Bitch is Back","Blue Moves"
"Elton John",1976,"Sorry Seems to Be the Hardest Word","Blue Moves"
"Elton John",1982,"Blue Eyes","Blue Moves"
"Elton John",1984,"Sad Songs (Say So Much)","Blue Moves"
"Elton John",1982,"Empty Garden (Hey Hey Johnny)","Blue Moves"
America,1972,"Horse With No Name","History, America's Greatest Hits"
America,1975,"Sister Golden Hair","History, America's Greatest Hits"
Abba,1976,"Dancing Queen","The Best Of"
Abba,1974,Waterloo,"The Best Of"
Abba,1976,Fernando,"The Best Of"
Abba,1975,SOS,"The Best Of"
Abba,1980,"The Winner Takes it All","The Best Of"
Abba,1976,"Money, Money, Money","The Best Of"
Abba,1977,"Knowing Me, Knowing You","The Best Of"
Abba,1978,"Take a Chance On Me","The Best Of"
Abba,1979,Chiquitita,"The Best Of"
Abba,1975,"I Do, I Do, I Do, I Do, I Do","The Best Of"
Abba,1976,"Mamma Mia","The Best Of"
Abba,1980,"Super Trouper","The Best Of"
Abba,1977,"The Name of the Game","The Best Of"
Abba,1981,"One of Us","The Best Of"
Abba,1979,"Gimme! Gimme! Gimme! (A Man After Midnight)","The Best Of"
Abba,1978,"Summer Night City","The Best Of"
Abba,1979,"I Have a Dream","The Best Of"
Abba,1979,"Does Your Mother Know","The Best Of"
Abba,1973,"Ring Ring","The Best Of"
Abba,1982,"The Day Before You Came","The Best Of"
"George Benson",1980,"Give Me the Night",Breezin'
"George Benson",1982,"Turn Your Love Around",Breezin'
Genesis,1991,"No Son of Mine","A Trick of the Tail"
Genesis,1986,"Invisible Touch","A Trick of the Tail"
Genesis,1992,"Hold On My Heart","A Trick of the Tail"
Genesis,1978,"Follow You Follow Me","A Trick of the Tail"
Genesis,1992,"I Can't Dance","A Trick of the Tail"
Genesis,1987,"Land of Confusion","A Trick of the Tail"
Genesis,1983,Mama,"A Trick of the Tail"
Genesis,1980,Misunderstanding,"A Trick of the Tail"
Genesis,1981,Abacab,"A Trick of the Tail"
Genesis,1987,"In Too Deep","A Trick of the Tail"
"Steve Miller Band",1982,Abracadabra,"Fly Like An Eagle"
"Steve Miller Band",1974,"The Joker","Fly Like An Eagle"
"Steve Miller Band",1976,"Rock 'n' Me","Fly Like An Eagle"
"Steve Miller Band",1977,"Fly Like an Eagle","Fly Like An Eagle"
"Steve Miller Band",1977,"Jet Airliner","Fly Like An Eagle"
"Donna Summer",1979,"Hot Stuff","A Love Trilogy"
"Donna Summer",1977,"I Feel Love","A Love Trilogy"
"Donna Summer",1976,"Love to Love You Baby","A Love Trilogy"
"Donna Summer",1979,"Bad Girls","A Love Trilogy"
"Donna Summer",1978,"MacArthur Park","A Love Trilogy"
"Donna Summer",1978,"The Last Dance","A Love Trilogy"
"Donna Summer",1983,"She Works Hard For the Money","A Love Trilogy"
"Donna Summer",1980,"On The Radio","A Love Trilogy"
"Donna Summer",1989,"This Time I Know It's For Real","A Love Trilogy"
"Donna Summer",1982,"Love is in Control (Finger On the Trigger)","A Love Trilogy"
"Donna Summer",1980,"The Wanderer","A Love Trilogy"
"Helen Reddy",1973,"Delta Dawn","Helen Reddy's Greatest Hits"
"Helen Reddy",1973,"Leave Me Alone (Ruby Red Dress)","Helen Reddy's Greatest Hits"
"Helen Reddy",1972,"I am Woman","Helen Reddy's Greatest Hits"
"Helen Reddy",1974,"Angie Baby","Helen Reddy's Greatest Hits"
"Manfred Mann's Earth Band",1977,"Blinded By the Light","The Roaring Silence"
Eagles,1977,"Hotel California","Hotel California"
Eagles,1975,"One of These Nights","Hotel California"
Eagles,1977,"New Kid in Town","Hotel California"
Eagles,1979,"Heartache Tonight","Hotel California"
Eagles,1975,"Best of My Love","Hotel California"
Eagles,1975,"Lying Eyes","Hotel California"
Eagles,1976,"Take it to the Limit","Hotel California"
Eagles,1972,"Take it Easy","Hotel California"
"Stevie Wonder",1984,"I Just Called to Say I Love You","Songs In The Key Of Life"
"Stevie Wonder",1973,Superstition,"Songs In The Key Of Life"
"Stevie Wonder",1977,"Sir Duke","Songs In The Key Of Life"
"Stevie Wonder",1980,"Master Blaster (Jammin')","Songs In The Key Of Life"
"Stevie Wonder",1973,"You Are the Sunshine of My Life","Songs In The Key Of Life"
"Stevie Wonder",1985,"Part-Time Lover","Songs In The Key Of Life"
"Stevie Wonder",1977,"I Wish","Songs In The Key Of Life"
"Stevie Wonder",1969,"Yester-Me Yester-You Yesterday","Songs In The Key Of Life"
"Stevie Wonder",1974,"Living For the City","Songs In The Key Of Life"
"Stevie Wonder",1973,"Higher Ground","Songs In The Key Of Life"
"Stevie Wonder",1975,"Boogie On Reggae Woman","Songs In The Key Of Life"
"Stevie Wonder",1970,"Signed, Sealed, Delivered, I'm Yours","Songs In The Key Of Life"
"Stevie Wonder",1967,"I Was Made to Love Her","Songs In The Key Of Life"
"Stevie Wonder",1982,"That Girl","Songs In The Key Of Life"
"Stevie Wonder",1968,"For Once in My Life","Songs In The Key Of Life"
"Stevie Wonder",1963,Fingertips,"Songs In The Key Of Life"
"Stevie Wonder",1969,"My Cherie Amour","Songs In The Key Of Life"
"Bob Dylan",1965,"Like a Rolling Stone",Desire
"Bob Dylan",1963,"Blowin' in the Wind",Desire
"Bob Dylan",1973,"Knockin' On Heaven's Door",Desire
"Bob Dylan",1965,"Positively Fourth Street",Desire
"Bob Dylan",1969,"Lay Lady Lay",Desire
"Bob Dylan",1976,Hurricane,Desire
"Bob Dylan",1966,"Rainy Day Woman Nos 12 & 35",Desire
Eagles,1977,"Hotel California","Eagles' Greatest Hits 1971-1975"
Eagles,1975,"One of These Nights","Eagles' Greatest Hits 1971-1975"
Eagles,1977,"New Kid in Town","Eagles' Greatest Hits 1971-1975"
Eagles,1979,"Heartache Tonight","Eagles' Greatest Hits 1971-1975"
Eagles,1975,"Best of My Love","Eagles' Greatest Hits 1971-1975"
Eagles,1975,"Lying Eyes","Eagles' Greatest Hits 1971-1975"
Eagles,1976,"Take it to the Limit","Eagles' Greatest Hits 1971-1975"
Eagles,1972,"Take it Easy","Eagles' Greatest Hits 1971-1975"
"Peter Frampton",1976,"Show Me the Way","Frampton Comes Alive"
"Peter Frampton",1976,"Baby, I Love Your Way","Frampton Comes Alive"
"Peter Frampton",1977,"I'm in You","Frampton Comes Alive"
Abba,1976,"Dancing Queen",Arrival
Abba,1974,Waterloo,Arrival
Abba,1976,Fernando,Arrival
Abba,1975,SOS,Arrival
Abba,1980,"The Winner Takes it All",Arrival
Abba,1976,"Money, Money, Money",Arrival
Abba,1977,"Knowing Me, Knowing You",Arrival
Abba,1978,"Take a Chance On Me",Arrival
Abba,1979,Chiquitita,Arrival
Abba,1975,"I Do, I Do, I Do, I Do, I Do",Arrival
Abba,1976,"Mamma Mia",Arrival
Abba,1980,"Super Trouper",Arrival
Abba,1977,"The Name of the Game",Arrival
Abba,1981,"One of Us",Arrival
Abba,1979,"Gimme! Gimme! Gimme! (A Man After Midnight)",Arrival
Abba,1978,"Summer Night City",Arrival
Abba,1979,"I Have a Dream",Arrival
Abba,1979,"Does Your Mother Know",Arrival
Abba,1973,"Ring Ring",Arrival
Abba,1982,"The Day Before You Came",Arrival
Abba,1976,"Dancing Queen","Abba's Greatest Hits"
Abba,1974,Waterloo,"Abba's Greatest Hits"
Abba,1976,Fernando,"Abba's Greatest Hits"
Abba,1975,SOS,"Abba's Greatest Hits"
Abba,1980,"The Winner Takes it All","Abba's Greatest Hits"
Abba,1976,"Money, Money, Money","Abba's Greatest Hits"
Abba,1977,"Knowing Me, Knowing You","Abba's Greatest Hits"
Abba,1978,"Take a Chance On Me","Abba's Greatest Hits"
Abba,1979,Chiquitita,"Abba's Greatest Hits"
Abba,1975,"I Do, I Do, I Do, I Do, I Do","Abba's Greatest Hits"
Abba,1976,"Mamma Mia","Abba's Greatest Hits"
Abba,1980,"Super Trouper","Abba's Greatest Hits"
Abba,1977,"The Name of the Game","Abba's Greatest Hits"
Abba,1981,"One of Us","Abba's Greatest Hits"
Abba,1979,"Gimme! Gimme! Gimme! (A Man After Midnight)","Abba's Greatest Hits"
Abba,1978,"Summer Night City","Abba's Greatest Hits"
Abba,1979,"I Have a Dream","Abba's Greatest Hits"
Abba,1979,"Does Your Mother Know","Abba's Greatest Hits"
Abba,1973,"Ring Ring","Abba's Greatest Hits"
Abba,1982,"The Day Before You Came","Abba's Greatest Hits"
"Rod Stewart",1971,"Maggie May","A Night On The Town"
"Rod Stewart",1979,"Do Ya Think I'm Sexy?","A Night On The Town"
"Rod Stewart",1976,"Tonight's the Night (Gonna Be Alright)","A Night On The Town"
"Rod Stewart",1983,"Baby Jane","A Night On The Town"
"Rod Stewart",1975,Sailing,"A Night On The Town"
"Rod Stewart",1991,"Rhythm of My Heart","A Night On The Town"
"Rod Stewart",1977,"You're in My Heart (The Final Acclaim)","A Night On The Town"
"Rod Stewart",1993,"Have I Told You Lately","A Night On The Town"
"Rod Stewart",1981,Passion,"A Night On The Town"
"Rod Stewart",1981,"Young Turks","A Night On The Town"
"Rod Stewart",1990,"Downtown Train","A Night On The Town"
"Rod Stewart",1981,"Tonight I'm Yours (Don't Hurt Me)","A Night On The Town"
"Rod Stewart",1991,"The Motown Song","A Night On The Town"
"Rod Stewart",1971,"Reason to Believe","A Night On The Town"
"Rod Stewart",1972,"You Wear it Well","A Night On The Town"
Boston,1976,"More Than a Feeling",Boston
Boston,1986,Amanda,Boston
Boston,1978,"Don't Look Back",Boston
Wings,1977,"Mull of Kintyre","Wings At The Speed Of Sound"
Wings,1976,"Silly Love Songs","Wings At The Speed Of Sound"
Wings,1974,"Band On the Run","Wings At The Speed Of Sound"
Wings,1973,"My Love","Wings At The Speed Of Sound"
Wings,1973,"Live & Let Die","Wings At The Speed Of Sound"
Wings,1975,"Listen to What the Man Said","Wings At The Speed Of Sound"
Wings,1978,"With a Little Luck","Wings At The Speed Of Sound"
Wings,1974,Jet,"Wings At The Speed Of Sound"
Wings,1979,"Goodnight Tonight","Wings At The Speed Of Sound"
Wings,1971,"Uncle Albert (Admiral Halsey)","Wings At The Speed Of Sound"
Wings,1976,"Let 'Em In","Wings At The Speed Of Sound"
Wings,1973,"Hi Hi Hi","Wings At The Speed Of Sound"
"Neil Diamond",1970,"Cracklin' Rosie","Beautiful Noise"
"Neil Diamond",1972,"Song Sung Blue","Beautiful Noise"
"Neil Diamond",1971,"I Am... I Said","Beautiful Noise"
"Neil Diamond",1980,"Love On the Rocks","Beautiful Noise"
"Neil Diamond",1969,"Sweet Caroline (Good Times Never Seemed So Good)","Beautiful Noise"
"Neil Diamond",1974,"Long Fellow Serenade","Beautiful Noise"
"Electric Light Orchestra",1976,"Livin' Thing","A New World Record"
"Electric Light Orchestra",1981,"Hold On Tight","A New World Record"
"Electric Light Orchestra",1979,"Don't Bring Me Down","A New World Record"
"Electric Light Orchestra",1977,"Telephone Line","A New World Record"
"Electric Light Orchestra",1979,"Shine a Little Love","A New World Record"
"Electric Light Orchestra",1977,"Turn to Stone","A New World Record"
"Electric Light Orchestra",1976,"Evil Woman","A New World Record"
"The Rolling Stones",1965,"(I Can't Get No) Satisfaction","Black & Blue"
"The Rolling Stones",1973,Angie,"Black & Blue"
"The Rolling Stones",1969,"Honky Tonk Woman","Black & Blue"
"The Rolling Stones",1968,"Jumpin' Jack Flash","Black & Blue"
"The Rolling Stones",1966,"Paint it Black","Black & Blue"
"The Rolling Stones",1971,"Brown Sugar","Black & Blue"
"The Rolling Stones",1978,"Miss You","Black & Blue"
"The Rolling Stones",1965,"Get Off of My Cloud","Black & Blue"
"The Rolling Stones",1966,"19th Nervous Breakdown","Black & Blue"
"The Rolling Stones",1981,"Start Me Up","Black & Blue"
"The Rolling Stones",1965,"The Last Time","Black & Blue"
"The Rolling Stones",1967,"Ruby Tuesday","Black & Blue"
"The Rolling Stones",1967,"Let's Spend the Night Together","Black & Blue"
"The Rolling Stones",1980,"Emotional Rescue","Black & Blue"
"The Rolling Stones",1972,"Tumbling Dice","Black & Blue"
"The Rolling Stones",1989,"Mixed Emotions","Black & Blue"
"The Rolling Stones",1983,"Undercover of the Night","Black & Blue"
"The Rolling Stones",1997,"Anybody Seen My Baby","Black & Blue"
"The Rolling Stones",1964,"Time is On My Side","Black & Blue"
"The Rolling Stones",1967,"We Love You","Black & Blue"
"The Rolling Stones",1966,"As Tears Go By","Black & Blue"
"The Rolling Stones",1966,"Have You Seen Your Mother, Baby","Black & Blue"
"The Rolling Stones",1967,"She's a Rainbow","Black & Blue"
"The Rolling Stones",1986,"Harlem Shuffle","Black & Blue"
"The Rolling Stones",1964,"It's All Over Now","Black & Blue"
"The Rolling Stones",1994,"Love is Strong","Black & Blue"
"The Rolling Stones",1974,"It's Only Rock 'n' Roll (But I Like It)","Black & Blue"
"The Rolling Stones",1981,"Waiting On a Friend","Black & Blue"
"The Rolling Stones",1982,"Going to a Go-Go","Black & Blue"
"The Rolling Stones",1976,"Fool to Cry","Black & Blue"
"The Rolling Stones",1968,"Street Fighting Man","Black & Blue"
"Led Zeppelin",1970,"Whole Lotta Love",Presence
"Led Zeppelin",1971,"Stairway to Heaven",Presence
"Led Zeppelin",1972,"Black Dog",Presence
"Led Zeppelin",1971,"Immigrant Song",Presence
"Led Zeppelin",1975,Kashmir,Presence
"Boz Scaggs",1976,Lowdown,"Silk Degrees"
"David Bowie",1983,"Let's Dance","Station To Station"
"David Bowie",1975,Fame,"Station To Station"
"David Bowie",1973,"Space Oddity","Station To Station"
"David Bowie",1980,"Ashes to Ashes","Station To Station"
"David Bowie",1983,"China Girl","Station To Station"
"David Bowie",1976,"Golden Years","Station To Station"
"David Bowie",1986,"Absolute Beginners","Station To Station"
"David Bowie",1982,"Cat People (Putting Out Fire)","Station To Station"
"David Bowie",1984,"Blue Jean","Station To Station"
"David Bowie",1983,"Modern Love","Station To Station"
"David Bowie",1973,Sorrow,"Station To Station"
"David Bowie",1977,Heroes,"Station To Station"
"David Bowie",1975,"Young Americans","Station To Station"
"David Bowie",1993,"Jump They Say","Station To Station"
"David Bowie",1974,"Rebel Rebel","Station To Station"
"David Bowie",1980,Fashion,"Station To Station"
Queen,1976,"Bohemian Rhapsody","A Day At The Races"
Queen,1980,"Another One Bites the Dust","A Day At The Races"
Queen,1980,"Crazy Little Thing Called Love","A Day At The Races"
Queen,1977,"We Are the Champions","A Day At The Races"
Queen,1984,"Radio Ga Ga","A Day At The Races"
Queen,1978,"We Will Rock You","A Day At The Races"
Queen,1984,"I Want to Break Free","A Day At The Races"
Queen,1974,"Killer Queen","A Day At The Races"
Queen,1995,"Heaven For Everyone","A Day At The Races"
Queen,1976,"Somebody to Love","A Day At The Races"
Queen,1991,Innuendo,"A Day At The Races"
Queen,1992,"Bohemian Rhapsody (1991)","A Day At The Races"
Queen,1982,"Body Language","A Day At The Races"
Queen,1978,"Bicycle Race","A Day At The Races"
Queen,1989,"I Want it All","A Day At The Races"
Queen,1991,"The Show Must Go On","A Day At The Races"
"Elvis Presley",1960,"Are You Lonesome Tonight?","The Sun Sessions"
"Elvis Presley",1960,"It's Now Or Never","The Sun Sessions"
"Elvis Presley",1957,"Jailhouse Rock","The Sun Sessions"
"Elvis Presley",1956,"Heartbreak Hotel","The Sun Sessions"
"Elvis Presley",1969,"Suspicious Minds","The Sun Sessions"
"Elvis Presley",1956,"Hound Dog","The Sun Sessions"
"Elvis Presley",1957,"All Shook Up","The Sun Sessions"
"Elvis Presley",1956,"Don't Be Cruel","The Sun Sessions"
"Elvis Presley",1961,Surrender,"The Sun Sessions"
"Elvis Presley",1962,"Return to Sender","The Sun Sessions"
"Elvis Presley",1959,"(Now & then There's) A Fool Such As I","The Sun Sessions"
"Elvis Presley",1962,"Can't Help Falling in Love","The Sun Sessions"
"Elvis Presley",1969,"In the Ghetto","The Sun Sessions"
"Elvis Presley",1963,"(You're The) Devil in Disguise","The Sun Sessions"
"Elvis Presley",1962,"Good Luck Charm","The Sun Sessions"
"Elvis Presley",1961,"Wooden Heart","The Sun Sessions"
"Elvis Presley",1956,"Love Me Tender","The Sun Sessions"
"Elvis Presley",1960,"Stuck On You","The Sun Sessions"
"Elvis Presley",1965,"Crying in the Chapel","The Sun Sessions"
"Elvis Presley",1957,"(Let Me Be Your) Teddy Bear","The Sun Sessions"
"Elvis Presley",1962,"She's Not You","The Sun Sessions"
"Elvis Presley",1977,"Way Down","The Sun Sessions"
"Elvis Presley",1961,"Little Sister","The Sun Sessions"
"Elvis Presley",1961,"(Marie's the Name) His Latest Flame","The Sun Sessions"
"Elvis Presley",1959,"A Big Hunk O' Love","The Sun Sessions"
"Elvis Presley",1959,"I Need Your Love Tonight","The Sun Sessions"
"Elvis Presley",1958,"One Night","The Sun Sessions"
"Elvis Presley",1972,"Burning Love","The Sun Sessions"
"Elvis Presley",1963,"Kiss Me Quick","The Sun Sessions"
"Elvis Presley",1958,"I Got Stung","The Sun Sessions"
"Elvis Presley",1958,Don't,"The Sun Sessions"
"Elvis Presley",1970,"The Wonder of You","The Sun Sessions"
"Elvis Presley",1963,"Bossa Nova Baby","The Sun Sessions"
"Elvis Presley",1960,"A Mess of Blues","The Sun Sessions"
"Elvis Presley",1962,"Rock a Hula Baby","The Sun Sessions"
"Elvis Presley",1970,"Don't Cry Daddy","The Sun Sessions"
"Elvis Presley",1958,"Hard Headed Woman","The Sun Sessions"
"Elvis Presley",2003,Rubberneckin',"The Sun Sessions"
"Elvis Presley",1964,"Ain't That Lovin' You Baby","The Sun Sessions"
"Elvis Presley",1964,"Viva Las Vegas","The Sun Sessions"
"Elvis Presley",1958,"King Creole","The Sun Sessions"
"Elvis Presley",1954,"That's All Right","The Sun Sessions"
"Elvis Presley",1958,"Wear My Ring Around Your Neck","The Sun Sessions"
"Elvis Presley",1956,"I Want You, I Need You, I Love You","The Sun Sessions"
"Led Zeppelin",1970,"Whole Lotta Love","The Song Remains The Same"
"Led Zeppelin",1971,"Stairway to Heaven","The Song Remains The Same"
"Led Zeppelin",1972,"Black Dog","The Song Remains The Same"
"Led Zeppelin",1971,"Immigrant Song","The Song Remains The Same"
"Led Zeppelin",1975,Kashmir,"The Song Remains The Same"
Chicago,1976,"If You Leave Me Now","Chicago X"
Chicago,1982,"Hard to Say I'm Sorry","Chicago X"
Chicago,1989,"Look Away","Chicago X"
Chicago,1970,"25 Or 6 to 4","Chicago X"
Chicago,1985,"You're the Inspiration","Chicago X"
Chicago,1972,"Saturday in the Park","Chicago X"
Chicago,1973,"Just You 'n' Me","Chicago X"
"The Beatles",1968,"Hey Jude","Rock 'N' Roll Music"
"The Beatles",1970,"Let it Be","Rock 'N' Roll Music"
"The Beatles",1964,"I Want to Hold Your Hand","Rock 'N' Roll Music"
"The Beatles",1965,Help!,"Rock 'N' Roll Music"
"The Beatles",1967,"All You Need is Love","Rock 'N' Roll Music"
"The Beatles",1964,"She Loves You","Rock 'N' Roll Music"
"The Beatles",1965,Yesterday,"Rock 'N' Roll Music"
"The Beatles",1969,"Get Back","Rock 'N' Roll Music"
"The Beatles",1967,"Hello, Goodbye","Rock 'N' Roll Music"
"The Beatles",1967,"Penny Lane","Rock 'N' Roll Music"
"The Beatles",1964,"I Feel Fine","Rock 'N' Roll Music"
"The Beatles",1966,"Paperback Writer","Rock 'N' Roll Music"
"The Beatles",1964,"A Hard Day's Night","Rock 'N' Roll Music"
"The Beatles",1966,"Yellow Submarine","Rock 'N' Roll Music"
"The Beatles",1965,"Ticket to Ride","Rock 'N' Roll Music"
"The Beatles",1969,"Come Together","Rock 'N' Roll Music"
"The Beatles",1969,"The Ballad of John & Yoko","Rock 'N' Roll Music"
"The Beatles",1964,"Can't Buy Me Love","Rock 'N' Roll Music"
"The Beatles",1968,"Lady Madonna","Rock 'N' Roll Music"
"The Beatles",1967,"Strawberry Fields Forever","Rock 'N' Roll Music"
"The Beatles",1969,Something,"Rock 'N' Roll Music"
"The Beatles",1966,"We Can Work it Out","Rock 'N' Roll Music"
"The Beatles",1965,"Day Tripper","Rock 'N' Roll Music"
"The Beatles",1966,"Eleanor Rigby","Rock 'N' Roll Music"
"The Beatles",1966,Michelle,"Rock 'N' Roll Music"
"The Beatles",1970,"The Long & Winding Road","Rock 'N' Roll Music"
"The Beatles",1969,"Ob-La-Di, Ob-La-Da","Rock 'N' Roll Music"
"The Beatles",1965,"Eight Days a Week","Rock 'N' Roll Music"
"The Beatles",1964,"Twist & Shout","Rock 'N' Roll Music"
"The Beatles",1964,"Please Please Me","Rock 'N' Roll Music"
"The Beatles",1968,Revolution,"Rock 'N' Roll Music"
"The Beatles",1964,"I Saw Her Standing There","Rock 'N' Roll Music"
"The Beatles",1964,"Love Me Do","Rock 'N' Roll Music"
"The Beatles",1965,"Rock 'n' Roll Music","Rock 'N' Roll Music"
"The Beatles",1995,"Free As a Bird","Rock 'N' Roll Music"
"The Beatles",1966,"Nowhere Man","Rock 'N' Roll Music"
"The Beatles",1963,"From Me to You","Rock 'N' Roll Music"
"The Beatles",1964,"All My Loving","Rock 'N' Roll Music"
"The Beatles",1964,"I Should Have Known Better","Rock 'N' Roll Music"
"The Beatles",1969,"Don't Let Me Down","Rock 'N' Roll Music"
"The Beatles",1996,"Real Love","Rock 'N' Roll Music"
"The Beatles",1967,"A Day in the Life","Rock 'N' Roll Music"
"The Beatles",1964,"She's a Woman","Rock 'N' Roll Music"
"The Beatles",1964,"Do You Want to Know a Secret?","Rock 'N' Roll Music"
Parliament,1978,"Flash Light","Mothership Connection"
"Bob Seger & The Silver Bullet Band",1987,"Shake Down","Night Moves"
"Bob Seger & The Silver Bullet Band",1980,"Against the Wind","Night Moves"
"Bob Seger & The Silver Bullet Band",1978,"Still the Same","Night Moves"
"Joni Mitchell",1970,"Big Yellow Taxi",Hejira
"Diana Ross",1980,"Upside Down","Diana Ross"
"Diana Ross",1976,"Theme From 'Mahogany' (Do You Know Where You're Going To)","Diana Ross"
"Diana Ross",1976,"Love Hangover","Diana Ross"
"Diana Ross",1986,"Chain Reaction","Diana Ross"
"Diana Ross",1973,"Touch Me in the Morning","Diana Ross"
"Diana Ross",1970,"Ain't No Mountain High Enough","Diana Ross"
"Diana Ross",1981,"Why Do Fools Fall in Love?","Diana Ross"
"Diana Ross",1980,"I'm Coming Out","Diana Ross"
"David Bowie",1983,"Let's Dance",ChangesOneBowie
"David Bowie",1975,Fame,ChangesOneBowie
